instance_name,best_lower_bound,best_upper_bound,iterations
MO1,3069.6488997870306,3400.9186199999995,1315
MO2,3583.5745387554207,3981.2538299999997,1403
MO3,3793.1293402814954,4221.487279999999,2000
MO4,3736.434644933293,4150.70587,1834
MO5,3410.121834624982,3788.54216,1785
